OBJECTID,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,POPULATION,POP_SQMI,POP2010,POP10_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS12,AVE_SIZE12,CROP_ACR12,AVE_SALE12,SQMI,Shape_Leng,Shape__Area,Shape__Length,Name_1,State,CD_GDP2012_All,CD_GDP2013_All,CD_GDP2014_All,CD_GDP2015_All,CD_GDP2012_Goods,CD_GDP2013_Goods,CD_GDP2014_Goods,CD_GDP2015_Goods,CD_GDP2012_Svcs,CD_GDP2013_Svcs,CD_GDP2014_Svcs,CD_GDP2015_Svcs,CD_GDP2012_Govt,CD_GDP2013_Govt,CD_GDP2014_Govt,CD_GDP2015_Govt,R_GDP2012_All,R_GDP2013_All,R_GDP2014_All,R_GDP2015_All,R_GDP2012_Goods,R_GDP2013_Goods,R_GDP2014_Goods,R_GDP2015_Goods,R_GDP2012_Svcs,R_GDP2013_Svcs,R_GDP2014_Svcs,R_GDP2015_Svcs,R_GDP2012_Govt,R_GDP2013_Govt,R_GDP2014_Govt,R_GDP2015_Govt,RGr_GDP1213_All,RGr_GDP1314_All,RGr_GDP1415_All,RGr_GDP1213_Goods,RGr_GDP1314_Goods,RGr_GDP1415_Goods,RGr_GDP1213_Svcs,RGr_GDP1314_Svcs,RGr_GDP1415_Svcs,RGr_GDP1213_Govt,RGr_GDP1314_Govt,RGr_GDP1415_Govt,Shape__Area_2,Shape__Length_2,RCh_GDP_1213,RCh_GDP_1314,RCh_GDP_1415,RAbs_GDP_1213,RAbs_GDP_1314,RAbs_GDP_1415
1607,Autauga,Alabama,1,1,1001,56319,93.2,54571,90.3,42855,9643,232,474,32,1310,466,869,26569,28002,3579,3991,4290,4290,3080,6487,8243,8205,5860,4013,1982,551,36.9,35.9,37.8,20221,2.68,2012,2429,5522,5845,558,1821,15064,3.13,22135,1914,15248,4973,389,287,41293,50929,604.13,2.13726958,2207724132,258763.0305,Autauga,AL,1383941000,1363368000,1402516000,1539406000,286396000,310468000,323582000,346355000,948490000,904599000,928438000,1037309000,149055000,148301000,150496000,155742000,1383941000,1322416000,1312668000,1412939000,286396000,299115000,310672000,325250000,948490000,880098000,861153000,946148000,149055000,143062000,140893000,141294000,-4.4,-0.7,7.6,4.4,3.9,4.7,-7.2,-2.2,9.9,-4,-1.5,0.3,2207724133,258763.0307,-61525000,-9748000,100271000,61525000,9748000,100271000
2938,Baldwin,Alabama,1,3,1003,209227,127.6,182265,111.1,156153,17105,1216,1348,89,7992,3631,2723,89196,93069,11158,11599,11926,11600,9449,20956,23553,26921,24535,17803,9532,3233,41.2,40.1,42.3,73180,2.46,8096,10276,15778,24135,1848,5272,51151,2.93,104061,30881,53071,20109,989,194,100901,137069,1640.33,6.67563575,5769279687,796142.4748,Baldwin,AL,5599194000,6365080000,6547396000,6436107000,681871000,698500000,711443000,735432000,4306173000,5037325000,5194273000,5023903000,611151000,629255000,641681000,676772000,5599194000,6218819000,6247887000,5981958000,681871000,675300000,667273000,681451000,4306173000,4938029000,4981897000,4687199000,611151000,606634000,600257000,613367000,11.1,0.5,-4.3,-1,-1.2,2.1,14.7,0.9,-5.9,-0.7,-1.1,2.2,5769279686,796142.4761,619625000,29068000,-265929000,619625000,29068000,265929000
2172,Barbour,Alabama,1,5,1005,27072,29.9,27457,30.4,13180,12875,114,107,29,1387,894,258,14576,12881,1702,1642,1599,1731,1794,3818,3628,4018,3616,2238,1228,443,39,37.2,41.5,9820,2.47,1224,1573,1628,2665,250,1348,6721,3.01,11829,2009,6556,3264,571,358,41301,182761,904.49,2.69081573,3257875669,320351.4624,Barbour,AL,639833000,701750000,689212000,743779000,253232000,303099000,286467000,307299000,274894000,288270000,291688000,324052000,111707000,110381000,111057000,112428000,639833000,687532000,663462000,708778000,253232000,299701000,282243000,307785000,274894000,281751000,277494000,299780000,111707000,106334000,103793000,101776000,7.5,-3.5,6.8,18.4,-5.8,9,2.5,-1.5,8,-4.8,-2.4,-1.9,3257875668,320351.4623,47699000,-24070000,45316000,47699000,24070000,45316000
1123,Bibb,Alabama,1,7,1007,22932,36.6,22915,36.6,17381,5047,64,22,13,406,185,203,12301,10614,1378,1405,1440,1543,1491,3249,3382,3386,2735,1723,904,279,37.7,36.5,39.4,7953,2.6,898,1053,1789,2383,215,748,5748,3.09,8981,1028,6011,1942,189,298,12608,0,626.18,1.89511625,2312034619,228867.321,Bibb,AL,297560000,325906000,329087000,322307000,98048000,113691000,108170000,102984000,116767000,129718000,138327000,133371000,82746000,82498000,82591000,85952000,297560000,314380000,305472000,291780000,98048000,107783000,95920000,89418000,116767000,126946000,132653000,124826000,82746000,79635000,77382000,78060000,5.7,-2.8,-4.5,9.9,-11,-6.8,8.7,4.5,-5.9,-3.8,-2.8,0.9,2312034619,228867.3207,16820000,-8908000,-13692000,16820000,8908000,13692000
1983,Blount,Alabama,1,9,1009,57596,88.5,57322,88.1,53068,761,307,117,38,4626,2347,684,28362,28960,3616,3880,4084,4033,3107,6877,7925,8085,7276,5079,2552,808,38.9,37.9,40,21578,2.63,2161,2619,5771,7306,578,1276,16175,3.07,23887,2309,17384,4194,1241,118,37147,143586,650.63,2.45210721,2456932871,296357.6882,Blount,AL,632761000,701145000,688525000,819608000,187947000,235705000,206791000,201373000,310042000,330581000,347601000,481303000,134773000,134859000,134133000,136932000,632761000,683949000,661352000,778131000,187947000,230423000,202582000,202719000,310042000,323387000,332893000,449819000,134773000,130240000,125749000,124457000,8.1,-3.3,17.7,22.6,-12.1,0.1,4.3,2.9,35.1,-3.4,-3.4,-1,2456932870,296357.6886,51188000,-22597000,116779000,51188000,22597000,116779000
1462,Bullock,Alabama,1,11,1011,10811,17.3,10914,17.5,2507,7666,23,20,43,777,569,86,5912,5002,742,570,675,726,711,1555,1362,1697,1407,835,426,208,38.4,37.5,39.7,3745,2.46,556,674,475,703,101,694,2387,3.12,4493,748,2576,1169,273,603,26119,199813,625.05,2.06475713,2262605560,247451.989,Bullock,AL,191052000,190103000,178408000,178902000,67063000,71650000,60743000,61008000,78889000,72767000,71542000,71217000,45101000,45686000,46123000,46678000,191052000,185250000,170520000,169621000,67063000,70078000,59153000,61066000,78889000,71155000,68148000,66269000,45101000,44016000,43113000,42266000,-3,-8,-0.5,4.5,-15.6,3.2,-9.8,-4.2,-2.8,-2.4,-2.1,-2,2262605561,247451.9891,-5802000,-14730000,-899000,5802000,14730000,899000
1008,Butler,Alabama,1,13,1013,20621,26.5,20947,26.9,11399,9095,60,177,7,191,48,161,9838,11109,1372,1351,1465,1391,1170,2527,2377,2980,2825,1829,1148,512,40.1,37.8,42.1,8491,2.43,1063,1463,1479,2199,181,1143,5739,3,9964,1473,5967,2524,407,217,21305,270633,777.88,1.83578581,2794811688,221320.9365,Butler,AL,514216000,522547000,512826000,542129000,189427000,166962000,155406000,156906000,263801000,294015000,294944000,321026000,60988000,61569000,62476000,64197000,514216000,510470000,488051000,510960000,189427000,162906000,146384000,151362000,263801000,288224000,283313000,301584000,60988000,59371000,58461000,58206000,-0.7,-4.4,4.7,-14,-10.1,3.4,9.3,-1.7,6.4,-2.7,-1.5,-0.4,2794811687,221320.9364,-3746000,-22419000,22909000,3746000,22419000,22909000
1682,Calhoun,Alabama,1,15,1015,117650,192.1,118572,193.6,88840,24382,540,845,96,3893,1894,1975,57176,61396,7204,7521,7719,8607,9022,14787,14627,16986,15109,9437,5749,1804,38.1,36.4,39.6,47331,2.44,5725,7404,8885,13283,1194,4676,31609,2.97,53289,5958,32552,14779,592,137,21357,156052,612.37,2.21060898,2301206243,265282.1965,Calhoun,AL,4073476000,3988587000,3943024000,3999134000,1051376000,990407000,868396000,849069000,1951870000,1995846000,2036779000,2086608000,1070229000,1002334000,1037850000,1063457000,4073476000,3918440000,3780726000,3750456000,1051376000,983710000,834825000,799942000,1951870000,1956676000,1959374000,1966730000,1070229000,977981000,985321000,982529000,-3.8,-3.5,-0.8,-6.4,-15.1,-4.2,0.2,0.1,0.4,-8.6,0.8,-0.3,2301206244,265282.1966,-155036000,-137714000,-30270000,155036000,137714000,30270000
774,Chambers,Alabama,1,17,1017,34225,56.8,34215,56.7,20112,13257,69,168,10,536,214,385,16363,17852,1953,2045,2237,2298,1925,3801,4432,5049,4769,3108,1827,771,41.5,39.8,43.3,13933,2.42,1798,2255,2205,3726,410,1616,9391,2.97,17004,3071,9843,4090,301,320,15285,27706,603.08,1.72292372,2222557126,208785.3496,Chambers,AL,567650000,629384000,687210000,731197000,177977000,214956000,220871000,271587000,301425000,325399000,346159000,335610000,88248000,89029000,120180000,124000000,567650000,613470000,653977000,667159000,177977000,207322000,206069000,235442000,301425000,320183000,335196000,317545000,88248000,85900000,112517000,112444000,8.1,6.6,2,16.5,-0.6,14.3,6.2,4.7,-5.3,-2.7,31,-0.1,2222557126,208785.3497,45820000,40507000,13182000,45820000,40507000,13182000
1299,Cherokee,Alabama,1,19,1019,25853,43.1,25989,43.3,24081,1208,135,54,1,320,123,387,12888,13101,1390,1524,1630,1670,1258,2543,3380,4020,3923,2909,1363,379,43.9,42.9,44.9,10626,2.42,1358,1406,2148,3726,289,681,7493,2.89,16267,5641,8345,2281,561,221,58801,213913,600.07,1.89802766,2276400822,237755.5747,Cherokee,AL,443582000,478273000,454068000,440373000,153006000,178780000,154210000,145038000,212307000,219628000,218578000,212326000,78269000,79865000,81279000,83009000,443582000,467206000,435311000,412342000,153006000,175373000,150555000,139068000,212307000,214894000,208520000,197687000,78269000,77000000,76039000,75240000,5.3,-6.8,-5.3,14.6,-14.2,-7.6,1.2,-3,-5.2,-1.6,-1.2,-1.1,2276400822,237755.5749,23624000,-31895000,-22969000,23624000,31895000,22969000
